name,slogan,website,status,founded,location,team_size,batch,twitter,facebook,crunchbase
Quad,Quad is where college students get things done.,http://thequad.com,Inactive,,San Francisco,12,S11,,,https://www.crunchbase.com/organization/quad
Leada,Online enterprise training in data science and analytics.…,http://www.teamleada.com,Inactive,,"Berkeley, CA",1,S15,,,https://www.crunchbase.com/organization/leada
One Month,One Month's affordable online bootcamps teach people how to code in…,http://onemonth.com,Inactive,2013,New York,1,S13,https://twitter.com/onemonthedu,https://www.facebook.com/OneMonthEdu,https://www.crunchbase.com/organization/one-month-rails
Make School,Make School is redesigning college for the 21st century. Students…,http://www.makeschool.com,Inactive,,San Francisco,45,W12,https://www.twitter.com/makeschool,https://www.facebook.com/makeschool,https://www.crunchbase.com/organization/makegameswithus
AntWalk,An employee up-skilling platform for fast growing companies,https://www.antwalk.com,Inactive,2019,"Bengaluru, India",50,W22,,,
Skillza,Skillza builds simple tools for teachers and schools in MEA,https://www.skillza.co,Inactive,2021,United Arab Emirates,20,W22,,https://www.facebook.com/skillzalearning,
Prendea,Live afterschool classes for Spanish-speaking kids ages 4 to 15.,https://prendea.com,Inactive,2020,"Barranco, Peru",5,W21,,,
Degrees of Freedom,"DoF provides a high quality, affordable higher education alternative.",https://www.DegreesOfFreedom.org,Inactive,2020,New York,7,W21,,,
buildspace,we're the place where people build cool shit.,https://buildspace.so,Inactive,2019,San Francisco,5,S20,https://twitter.com/_buildspace,,
Foreword,"A marketplace for live, online workshops for professionals",https://www.foreword.live,Inactive,2020,San Francisco,2,S20,,,
ExceptionALLY,Affordable expertise for special needs parenting.,https://growexceptionally.com,Inactive,,"Atlanta, GA",3,S18,https://twitter.com/Exception_ALLY,https://www.facebook.com/Growexceptionally,https://www.crunchbase.com/organization/exceptionally
Tutorspree,Online tutoring marketplace.,http://tutorspree.com,Inactive,,"Chicago, IL",51,W11,,,https://www.crunchbase.com/organization/tutorspree
Insight Data Science,Turning PhDs & engineers into data scientists & data engineers,http://insightdatascience.com,Inactive,,Palo Alto,11,W11,https://twitter.com/InsightFellows,https://www.facebook.com/InsightDataScience,https://www.crunchbase.com/organization/insight-data-science
Pantheon,A competitive community of the brightest students in the world,https://www.joinpantheon.io,Inactive,2020,San Francisco,2,W20,https://twitter.com/joinpantheon,,
Tailor-ED,AI-powered corporate learning for accelerated employee growth & skill…,https://www.tailor-ed.com,Inactive,2018,"Tel Aviv-Yafo, Israel",10,W19,,,https://www.crunchbase.com/organization/tailor-ed
CareerTu,Online school for Chinese to learn in-demand digital skills,https://careertu.com,Inactive,2018,New York,15,W19,,,
