Address,Price,Beds,Baths,Size
"13422 Lindengate Ct, Plainfield, IL 60585","$649,900",5 beds,4.5 baths,"3,121 sq ft"
"110 W Superior St #1402, Chicago, IL 60654","$629,000",2 beds,2 baths,"1,325 sq ft"
"1998 W Hidden Reserve Ct, Mequon, WI 53092","$1,100,000",3 beds,2.5 baths,"3,297 sq ft"
"2085 William Dr, Montgomery, IL 60538","$350,000",4 beds,2.5 baths,"2,502 sq ft"
"9217 Ewing Ave #201, Evanston, IL 60203","$319,999",3 beds,2 baths,"1,500 sq ft"
"21427 Bramble Dr, Frankfort, IL 60423","$565,000",5 beds,3 baths,"4,186 sq ft"
"3433 Ithaca Rd, Olympia Fields, IL 60461","$329,900",4 beds,2.5 baths,"2,340 sq ft"
"3164 Destiny St, Portage, IN 46368","$439,900",5 beds,3 baths,"3,573 sq ft"
"65 E Monroe St #4521, Chicago, IL 60603","$794,900",2 beds,2 baths,"1,630 sq ft"
"1932 East Ave, Berwyn, IL 60402","$489,000",6 beds,2 baths,— sq ft
"21754 W Empress Ln, Plainfield, IL 60544","$359,000",3 beds,3 baths,"1,385 sq ft"
"2405 Martin Ln, Rolling Meadows, IL 60008","$379,900",4 beds,2 baths,"1,080 sq ft"
"305 W 16th St, Chicago Heights, IL 60411","$249,900",3 beds,4 baths,— sq ft
"1255 N State Pkwy Unit 2AC, Chicago, IL 60610","$750,000",2 beds,2 baths,"2,000 sq ft"
"11S528 Book Rd, Naperville, IL 60564","$550,000",3 beds,3 baths,"2,297 sq ft"
"4619 S Prairie Ave Unit GDN, Chicago, IL 60653","$225,000",3 beds,3 baths,"2,500 sq ft"
"2590 Lorraine Cir, Geneva, IL 60134","$419,900",3 beds,2.5 baths,"2,077 sq ft"
"79 Golf Pkwy Unit H, Madison, WI 53704","$265,000",3 beds,1.5 baths,"1,530 sq ft"
"1982 Quaker Hollow Ln, Streamwood, IL 60107","$310,000",3 beds,2.5 baths,"1,650 sq ft"
"1774 Glen Lake Rd, Hoffman Estates, IL 60169","$458,000",5 beds,2 baths,"2,101 sq ft"
"2012 W Erie St Unit 3E, Chicago, IL 60612","$560,000",3 beds,2 baths,— sq ft
"212 E Cullerton St #812, Chicago, IL 60616","$265,000",1 bed,1 bath,907 sq ft
"50 N Plum Grove Rd Unit 210E, Palatine, IL 60067","$410,000",2 beds,2 baths,"1,700 sq ft"
"2706 W Chicago Ave #3, Chicago, IL 60622","$474,900",3 beds,2 baths,"1,700 sq ft"
"3S571 Virginia Ave, Warrenville, IL 60555","$609,000",4 beds,2.5 baths,"2,561 sq ft"
"4343 N Clarendon Ave #2409, Chicago, IL 60613","$145,000",0 beds,1 bath,600 sq ft
"850 N Damen Ave Unit 2F, Chicago, IL 60622","$249,999",2 beds,1 bath,750 sq ft
"270 N Geneva Ave, Elmhurst, IL 60126","$1,975,000",4 beds,3.5 baths,"5,762 sq ft"
